,구분,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,평균,위도,경도
0,조사종수,114,112,124,126,109,110,115.83,-,-
1,경기도,"217,162","189,783","229,855","224,062","134,873","110,323","184,343.00",37.2752,127.0095
2,연천군,0,0,"5,134","7,786",0,0,"2,153.33",38.0964,127.0746
4,팔당호(경안천 포함),"3,478","2,570","3,480","3,049","2,555","2,504","2,939.33",37.513865100000004,127.30635998178684
5,남한강(양평-여주),0,0,"5,223","9,554",0,0,"2,462.83",37.4990915,127.4780323980459
6,남한강(여주-충주),"7,065","16,508","18,631","17,259","12,660","12,930","14,175.50",37.2997615,127.6493037
7,북한강(청평댐-화천교),0,0,"2,341","3,095",0,0,906,37.721817,127.4064049
8,안양천,397,422,"4,219","7,228",668,530,"2,244.00",37.4606346,126.8891702
9,"한강하구(오두산전망대-일산대교)·김포평야(하성, 사우동)·공릉천",0,0,"17,709","18,966",0,0,"6,112.50",37.651931950000005,126.71744145929797
10,"한강하류(일산대교-행주대교)·이화동 일원(홍도평, 이화리, 태리)","18,524","22,424","28,331","16,129","24,066","22,131","21,934.17",37.5928784,126.8047787
11,임진강(장남교-오두산전망대),"121,020","50,872","32,331","27,992","31,711","24,442","48,061.33",37.9699351,126.8939423
12,대부도,0,0,"7,767","8,966",0,0,"2,788.83",37.251481749999996,126.60066961024701
13,시화호,"42,383","33,134","8,097","13,898","11,414","11,497","20,070.50",37.297262,126.66935315697435
14,왕송저수지,0,0,"3,454","1,107",0,0,760.17,37.3100504,126.9506537
15,물왕저수지,0,0,0,0,0,0,,37.38107945,126.83683015239595
16,발안저수지,0,0,320,843,0,0,193.83,37.1705159,126.93073168904343
17,서호,0,0,"2,442","2,004",0,0,741,37.27748285,126.98915042535754
18,진위천,0,0,"4,421","2,914",0,0,"1,222.50",37.0959721,127.090684
19,이동저수지,0,0,"1,093",631,0,0,287.33,37.120856,127.20151849648728
20,고삼저수지,0,0,"2,689","1,561",0,0,708.33,37.0853719,127.29800298715521
21,청미천,"2,448","3,080","7,489","9,827","2,284","1,826","4,492.33",37.1048523,127.5357903
22,"남양만(장안면, 우정면)",0,0,"25,358","31,544",0,0,"9,483.67",37.0261002,126.7954341
23,남양호,"4,133","6,122","9,541","5,267","7,212","3,582","5,976.17",37.04744185,126.87328320640002
24,아산만,0,0,"6,487","10,665",0,0,"2,858.67",37.01885285,126.69386603339379
25,아산호,"1,778","12,983","9,408","6,628","10,122","5,464","7,730.50",36.9213786,126.92423665523302
26,안성천,851,"1,044","2,998","1,662","1,230","1,665","1,575.00",37.0164713,127.3078027
27,공릉천중류,"1,084","2,491","3,945","3,022","2,388","1,823","2,458.83",37.6844637,126.8660552
28,황구지천,422,740,"2,713","2,492","1,328",597,"1,382.00",37.2310323,126.9928962
29,포천천,466,628,"1,084",806,350,849,697.17,37.8244996,127.1475775
30,복하천,"1,315","2,735","3,201","4,269","1,627","1,540","2,447.83",37.2581444,127.4503044
31,경안천,"2,288","1,949",0,0,"1,213",809,"1,043.17",37.3407933,127.2491459
32,공릉천하류,"2,531","15,325","7,059","2,530","5,556","2,140","5,856.83",37.745301,126.7902293
33,화성호,"6,979","16,756",0,0,"18,489","15,994","9,703.00",37.1061824,126.70903131354012
34,신천,0,0,0,0,0,0,,37.41413985,126.75558837746314
35,원천리천,0,0,0,0,0,0,,37.2513315,127.0427366
