¼ø¹ø,±¸ºÐ,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,22-Oct,22-Nov,22-Dec,22-Jan,22-Feb,22-Mar
0,°üÂûÁö¿ª¼ö,16,16,28,28,28,16,0,0,0,0,0,0,16,16,29,29,16,17,0,0,0,0,0,0,17,17,29,29,17,17,0,0,0,0,0,0,17,24,31,31,23,23,0,0,0,0,0,0,24,31,31,31,31,24
1,ÇÕ°è,110282,124074,155500,168324,134607,124194,0,0,0,0,0,0,"106,664","150,165","189,737","173,611","88,653","92,385",0,0,0,0,0,0,"217,162","189,783","229,855","224,062","134,873","110,323",0,0,0,0,0,0,"154,525","273,413","236,423","173,976","167,710","139,916",0,0,0,0,0,0,"195,697","235,931","226,102","174,697","242,320","164,221"
2,µé²æ,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,¸ä´ß,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,¸ÞÃß¶ó±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,²æ,38,48,107,89,118,59,0,0,0,0,0,0,39,31,55,51,28,43,0,0,0,0,0,0,59,54,81,78,47,39,0,0,0,0,0,0,43,83,76,70,53,74,0,0,0,0,0,0,34,60,55,61,56,109
6,°³¸®,120,34,24,24,24,258,0,0,0,0,0,0,0,32,4,4,0,210,0,0,0,0,0,0,0,104,0,11,1,0,0,0,0,0,0,0,0,8,4,9,46,81,0,0,0,0,0,0,0,0,5,0,4,121
7,Å«±â·¯±â,18899,17408,27494,23969,19443,9749,0,0,0,0,0,0,"24,971","20,741","29,699","25,090","12,861","5,017",0,0,0,0,0,0,"61,985","24,485","37,637","24,298","12,063","1,274",0,0,0,0,0,0,"49,598","84,337","30,689","13,692","14,418","2,514",0,0,0,0,0,0,"45,698","45,525","45,999","15,624","16,455","11,437"
8,È¸»ö±â·¯±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,¼è±â·¯±â,10651,31384,21398,31995,23898,30415,0,0,0,0,0,0,"5,655","26,950","33,071","29,215","13,019","8,642",0,0,0,0,0,0,"13,244","51,031","33,647","25,355","26,055","7,831",0,0,0,0,0,0,"18,002","43,562","33,985","36,998","36,299","10,262",0,0,0,0,0,0,"19,640","18,875","20,386","28,649","27,398","20,278"
10,ÈòÀÌ¸¶±â·¯±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,26
11,ÁÙ±â·¯±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Èò¸Ó¸®±â·¯±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Èò±â·¯±â,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2,2,1
14,ºÓÀº°¡½¿±â·¯±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Ä³³ª´Ù±â·¯±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Èæ±â·¯±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Èò¾ó±¼±â·¯±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
