"구분","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","평균"
"조사종수","47","67","108","112","75","64","78.83"
"경상북도","3,158","9,070","56,999","59,780","21,870","7,775","26,442.00"
"구미 해평(도흥리-일선교)","570","2,008","5,807","3,961","9,462","936","3,790.67"
"감천","927","979","1,604","1,391","1,552","873","1,221.00"
"낙동강(일선교-안동시)","0","0","2,972","2,118","0","0","848.33"
"내성천","0","0","314","249","0","0","93.83"
"안동호","0","0","1,287","573","0","0","310.00"
"임하호","0","0","334","446","0","0","130.00"
"낙동강(달성-남지)","0","0","3,394","3,110","0","0","1,084.00"
"덕동호","0","0","0","0","0","0",""
"보문호","0","0","0","0","0","0",""
"형산강(나정교-강동교)","850","3,783","4,025","4,623","8,532","4,231","4,340.67"
"형산강(형산교-제1강동교)","811","2,300","2,072","2,725","2,324","1,735","1,994.50"
"안계저수지","0","0","818","2,601","0","0","569.83"
"용연지","0","0","0","0","0","0",""
"하곡지(딱실못)","0","0","0","0","0","0",""
"울산-구룡포 해안","0","0","12,553","10,115","0","0","3,778.00"
"포항-영덕 해안","0","0","6,176","10,224","0","0","2,733.33"
"영덕-평해 해안","0","0","7,058","5,669","0","0","2,121.17"
"평해-울진 해안","0","0","3,604","5,879","0","0","1,580.50"
"울진-원덕 해안","0","0","4,981","6,096","0","0","1,846.17"
