,구분,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,평균,위도,경도
0,조사종수,43,54,99,109,62,50,69.50,-,-
1,경상북도,"2,609","8,295","68,530","87,187","23,331","13,981","33,988.83",36.5754,128.5058
2,구미 해평(도흥리-일선교),517,"1,650","4,978","17,392","13,207","6,913","7,442.83",36.2729362,128.3399024
3,감천,391,675,"1,362","1,041",648,992,851.50,36.0015778,128.0346555
4,낙동강(일선교-안동시),0,0,"3,675","1,878",0,0,925.50,36.5542601,128.7358335
5,내성천,0,0,211,91,0,0,50.33,36.7931386,128.7005271
6,안동호,0,0,"2,255","1,922",0,0,696.17,36.635761849999994,128.84789444353194
7,임하호,0,0,475,558,0,0,172.17,36.545353950000006,128.90499965564055
8,낙동강(달성-남지),0,0,"2,450","1,307",0,0,626.17,36.5595332,128.7403049
9,덕동호,0,0,0,0,0,0,,35.84188875,129.30835234107144
10,보문호,0,0,0,0,0,0,,35.84476345,129.27738318016281
11,형산강(나정교-강동교),616,"1,468","2,596","2,345","6,876","3,461","2,893.67",35.7913959,129.2011712
12,형산강(형산교-제1강동교),"1,085","4,502","3,551","3,236","2,600","2,615","2,931.50",36.0094968,129.3752861
13,안계저수지,0,0,"2,144","1,692",0,0,639.33,36.01620145,129.2647833443135
14,용연지,0,0,0,0,0,0,,36.3375604,128.6703276884224
15,하곡지(딱실못),0,0,0,0,0,0,,35.98014,129.148843768125
16,울산-구룡포 해안,0,0,"16,174","19,320",0,0,"5,915.67",35.48405855,129.43046564434846
17,포항-영덕 해안,0,0,"3,489","11,288",0,0,"2,462.83",36.0559656,129.3775343
18,영덕-평해 해안,0,0,"11,400","12,182",0,0,"3,930.33",37.5800766,129.1136025
19,평해-울진 해안,0,0,"8,719","8,332",0,0,"2,841.83",36.7527981,129.4679578
20,울진-원덕 해안,0,0,"5,051","4,603",0,0,"1,609.00",37.1487075,129.3622862
