,구분,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,평균,위도,경도
0,조사종수,47,67,108,112,75,64,78.83,-,-
1,경상북도,"3,158","9,070","56,999","59,780","21,870","7,775","26,442.00",36.5754,128.5058
2,구미 해평(도흥리-일선교),570,"2,008","5,807","3,961","9,462",936,"3,790.67",36.2729362,128.3399024
3,감천,927,979,"1,604","1,391","1,552",873,"1,221.00",36.0015778,128.0346555
4,낙동강(일선교-안동시),0,0,"2,972","2,118",0,0,848.33,36.5542601,128.7358335
5,내성천,0,0,314,249,0,0,93.83,36.7931386,128.7005271
6,안동호,0,0,"1,287",573,0,0,310.00,36.635761849999994,128.84789444353194
7,임하호,0,0,334,446,0,0,130.00,36.545353950000006,128.90499965564055
8,낙동강(달성-남지),0,0,"3,394","3,110",0,0,"1,084.00",36.5595332,128.7403049
9,덕동호,0,0,0,0,0,0,,35.84188875,129.30835234107144
10,보문호,0,0,0,0,0,0,,35.84476345,129.27738318016281
11,형산강(나정교-강동교),850,"3,783","4,025","4,623","8,532","4,231","4,340.67",35.7913959,129.2011712
12,형산강(형산교-제1강동교),811,"2,300","2,072","2,725","2,324","1,735","1,994.50",36.0094968,129.3752861
13,안계저수지,0,0,818,"2,601",0,0,569.83,36.01620145,129.2647833443135
14,용연지,0,0,0,0,0,0,,36.3375604,128.6703276884224
15,하곡지(딱실못),0,0,0,0,0,0,,35.98014,129.148843768125
16,울산-구룡포 해안,0,0,"12,553","10,115",0,0,"3,778.00",35.48405855,129.43046564434846
17,포항-영덕 해안,0,0,"6,176","10,224",0,0,"2,733.33",36.0559656,129.3775343
18,영덕-평해 해안,0,0,"7,058","5,669",0,0,"2,121.17",37.5800766,129.1136025
19,평해-울진 해안,0,0,"3,604","5,879",0,0,"1,580.50",36.7527981,129.4679578
20,울진-원덕 해안,0,0,"4,981","6,096",0,0,"1,846.17",37.1487075,129.3622862
